series	series_original	compartment
Ireland_Wexford Harbour Outer CB156 Mytilus edulis SB Not_applicable	Ireland_Wexford Harbour Outer CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Dundalk Bay Inner CB156 Mytilus edulis SB Not_applicable	Ireland_Dundalk Bay Inner CB156 Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_ClydeEstuaryOuter_fi02 CB156 Platichthys flesus LI Not_applicable	United Kingdom_Clyde_ClydeEstuaryOuter_fi02 CB156 Platichthys flesus LI Not_applicable	biota
United Kingdom_Clyde_FirthCInnerDunoon_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_Clyde_FirthCInnerDunoon_fi01 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_Clyde_FirthCInnerDunoon_fi01 CB156 Pleuronectes platessa LI Not_applicable	United Kingdom_Clyde_FirthCInnerDunoon_fi01 CB156 Pleuronectes platessa LI Not_applicable	biota
United Kingdom_Clyde_FirthCMiddleOffshor_fi01 CB156 Pleuronectes platessa LI Not_applicable	United Kingdom_Clyde_FirthCMiddleOffshor_fi01 CB156 Pleuronectes platessa LI Not_applicable	biota
United Kingdom_Clyde_LargsChannel_fi01 CB156 Pleuronectes platessa LI Not_applicable	United Kingdom_Clyde_LargsChannel_fi01 CB156 Pleuronectes platessa LI Not_applicable	biota
Ireland_Liffey Estuary Lower CB156 Mytilus edulis SB Not_applicable	Ireland_Liffey Estuary Lower CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Slaney Estuary Lower CB156 Mytilus edulis SB Not_applicable	Ireland_Slaney Estuary Lower CB156 Mytilus edulis SB Not_applicable	biota
Spain_PMGC CB156 Merluccius merluccius LI Not_applicable	Spain_PMGC CB156 Merluccius merluccius LI Not_applicable	biota
